,0,1,2,3,4,5
0,Name,Date,Market Cap,Volume,Open,Close
1,Bitcoin,2021-11-01,1159841954948.0,32494948461.0,61472.0,
2,Bitcoin,2021-10-31,1166423768410.0,31810216330.0,61837.0,61472.0
3,Bitcoin,2021-10-30,1178047465292.0,38648967245.0,62283.0,61837.0
4,Bitcoin,2021-10-29,1145912030969.0,52318597557.0,60768.0,62283.0
5,Bitcoin,2021-10-28,1105754837661.0,43976252157.0,58641.0,60768.0
6,Bitcoin,2021-10-27,1143497865065.0,33233702858.0,60604.0,58641.0
7,Bitcoin,2021-10-26,1192131994833.0,30852852368.0,63228.0,60604.0
8,Bitcoin,2021-10-25,1153315262663.0,29982535557.0,61173.0,63228.0
9,Bitcoin,2021-10-24,1161166467847.0,28505039148.0,61572.0,61173.0
10,Bitcoin,2021-10-23,1151508584005.0,40766460605.0,61029.0,61572.0
11,Bitcoin,2021-10-22,1178926819141.0,48709960686.0,62541.0,61029.0
12,Bitcoin,2021-10-21,1250376460616.0,40790757382.0,66238.0,62541.0
13,Bitcoin,2021-10-20,1217582580303.0,42550624869.0,64518.0,66238.0
14,Bitcoin,2021-10-19,1173944883530.0,39610183787.0,62018.0,64518.0
15,Bitcoin,2021-10-18,1160650121142.0,29625957542.0,61584.0,62018.0
16,Bitcoin,2021-10-17,1153847028825.0,35385452269.0,61166.0,61584.0
17,Bitcoin,2021-10-16,1164782155730.0,53653355008.0,61809.0,61166.0
18,Bitcoin,2021-10-15,1082900149763.0,35994603913.0,57452.0,61809.0
19,Bitcoin,2021-10-14,1083366079899.0,41216945749.0,57488.0,57452.0
20,Bitcoin,2021-10-13,1061829863954.0,40021384611.0,56335.0,57488.0
21,Bitcoin,2021-10-12,1084736227838.0,41913482915.0,57573.0,56335.0
22,Bitcoin,2021-10-11,1030788036762.0,38579271671.0,54712.0,57573.0
23,Bitcoin,2021-10-10,1038524699061.0,31927344846.0,55125.0,54712.0
24,Bitcoin,2021-10-09,1016650501581.0,33935485257.0,54011.0,55125.0
25,Bitcoin,2021-10-08,1015246512239.0,36549815857.0,53895.0,54011.0
26,Bitcoin,2021-10-07,1044675252844.0,48462388016.0,55415.0,53895.0
27,Bitcoin,2021-10-06,973040988103.0,35480330025.0,51669.0,55415.0
28,Bitcoin,2021-10-05,927812140868.0,32691763060.0,49260.0,51669.0
29,Bitcoin,2021-10-04,910331395887.0,26034594562.0,48283.0,49260.0
30,Bitcoin,2021-10-03,900582483713.0,29742127388.0,47778.0,48283.0
31,Bitcoin,2021-10-02,906929641889.0,42089383190.0,48182.0,47778.0
32,Bitcoin,2021-10-01,827840965060.0,30b859918335.0,43859.0,48182.0
33,Bitcoin,2021-09-30,782626384092.0,30068690312.0,41588.0,43859.0
34,Bitcoin,2021-09-29,775534111089.0,29691944223.0,41010.0,41588.0
35,Bitcoin,2021-09-28,794889951096.0,30483144439.0,42247.0,41010.0
36,Bitcoin,2021-09-27,825341135636.0,30462815705.0,43337.0,42247.0
37,Bitcoin,2021-09-26,808279417023.0,30898116660.0,42857.0,43337.0
38,Bitcoin,2021-09-25,809772498813.0,42973070343.0,42752.0,42857.0
39,Bitcoin,2021-09-24,846615719474.0,33594750550.0,44981.0,42752.0
40,Bitcoin,2021-09-23,820460824051.0,36624234960.0,43587.0,44981.0
41,Bitcoin,2021-09-22,760802031651.0,45940419565.0,40387.0,43587n.0
42,Bitcoin,2021-09-21,805826302811.0,41220025454.0,42933.0,40387.0
43,Bitcoin,2021-09-20,891560241243.0,26163167369.0,47371.0,42933.0
44,Bitcoin,2021-09-19,907957032341.0,27630476158.0,48267.0,47371.0
45,Bitcoin,2021-09-18,892585184978.0,27731209179.0,47229.0,48267.0
46,Bitcoin,2021-09-17,900990520812.0,31578783375.0,47879.0,47229.0
47,Bitcoin,2021-09-16,906727769791.0,30037816650.0,48187.0,47879.0
48,Bitcoin,2021-09-15,886524004597.0,38645575966.0,47135.0,48187.0
49,Bitcoin,2021-09-14,848992511474.0,40683028028.0,45140.0,47135.0
50,Bitcoin,2021-09-13,869122611514.0,27585855039.0,46195.0,45140.0
51,Bitcoin,2021-09-12,849828231596.0,34160277726.0,45196.0,46195.0
52,Bitcoin,2021-09-11,842222636395.0,38051987740.0,44803.0,45196.0
53,Bitcoin,2021-09-10,876179332244.0,38581092904.0,46519.0,44803.0
54,Bitcoin,2021-09-09,866885887154.0,48151104381.0,46085.0,46519.0
55,Bitcoin,2021-09-08,881943904969.0,64010507329.0,46995.0,46085.0
56,Bitcoin,2021-09-07,992868819862.0,37532574717.0,52740.0,46995.0
57,Bitcoin,2021-09-06,971284117138.0,31765191430.0,51696.0,52740.0
58,Bitcoin,2021-09-05,940538655660.0,36985805207.0,50013.0,51696.0
59,Bitcoin,2021-09-04,937295558515.0,42934455726.0,49935.0,50013.0
60,Bitcoin,2021-09-03,927323146557.0,39362789535.0,49339.0,49935.0
61,Bitcoin,2021-09-02,918058330851.0,39060601275.0,48823.0,49339.0
62,Bitcoin,2021-09-01,890014982635.0,34868965959.0,47335.0,48823.0
63,Bitcoin,2021-08-31,885729258053.0,32326073272.0,47124.0,47335.0
64,Bitcoin,2021-08-30,919515378469.0,26244843558.0,48907.0,47124.0
65,Bitcoin,2021-08-29,920017911099.0,28491785397.0,48937.0,48907.0
66,Bitcoin,2021-08-28,922969799299.0,34607868773.0,49083.0,48937.0
67,Bitcoin,2021-08-27,887832142450.0,33774857003.0,47229.0,49083.0
68,Bitcoin,2021-08-26,921328247354.0,33517327124.0,49003.0,47229.0
69,Bitcoin,2021-08-25,902489541308.0,38387146175.0,47941.0,49003.0
70,Bitcoin,2021-08-24,930729196214.0,35800255386.0,49519.0,47941.0
71,Bitcoin,2021-08-23,925630106451.0,27110183703.0,49251.0,49519.0
72,Bitcoin,2021-08-22,920750216465.0,42147725293.0,48934.0,49251.0
73,Bitcoin,2021-08-21,923013359587.0,36497089237.0,49196.0,48934.0
74,Bitcoin,2021-08-20,867650725473.0,38434805723.0,46745.0,49196.0
75,Bitcoin,2021-08-19,847143004615.0,34668999388.0,45015.0,46745.0
76,Bitcoin,2021-08-18,836777066606.0,34488116651.0,44534.0,45015.0
77,Bitcoin,2021-08-17,866391335029.0,34221605780.0,46032.0,44534.0
78,Bitcoin,2021-08-16,882888202378.0,32863850458.0,47025.0,46032.0
79,Bitcoin,2021-08-15,886593539913.0,33294851811.0,47089.0,47025.0
80,Bitcoin,2021-08-14,895084141169.0,34320865037.0,47717.0,47089.0
81,Bitcoin,2021-08-13,836054770492.0,35838614930.0,44495.0,47717.0
