date,value
10/3/2014, 15039
11/3/2014, 14907
12/3/2014, 7582
13/3/2014, 10674
14/3/2014, 13266
15/3/2014, 14835
16/3/2014, 15790
17/3/2014, 15215
18/3/2014, 14028
19/3/2014, 12337
20/3/2014, 12139
21/3/2014, 14244
22/3/2014, 16098
23/3/2014, 16232
24/3/2014, 15471
25/3/2014, 15255
26/3/2014, 12283
27/3/2014, 11667
28/3/2014, 15969
29/3/2014, 16706
30/3/2014, 17588
1/4/2014, 16988
2/4/2014, 20057
3/4/2014, 12910
4/4/2014, 12716
5/4/2014, 21273
6/4/2014, 16806
7/4/2014, 16970
8/4/2014, 21518
9/4/2014, 17442
10/4/2014, 14225
11/4/2014, 13469
12/4/2014, 15910
13/4/2014, 16935
14/4/2014, 18167
15/4/2014, 32817
16/4/2014, 14474
17/4/2014, 14587
18/4/2014, 12892
19/4/2014, 13595
20/4/2014, 21515
21/4/2014, 20254
22/4/2014, 20217
23/4/2014, 19485
24/4/2014, 13630
25/4/2014, 13823
26/4/2014, 14792
27/4/2014, 19718
28/4/2014, 18545
29/4/2014, 17571
30/4/2014, 21731
31/4/2014, 12882
1/5/2014, 12849
2/5/2014, 16427
3/5/2014, 17858
4/5/2014, 18010
5/5/2014, 18707
6/5/2014, 16611
7/5/2014, 12557
8/5/2014, 12134
9/5/2014, 14497
10/5/2014, 16631
11/5/2014, 19356
12/5/2014, 19092
13/5/2014, 19128
14/5/2014, 16078
15/5/2014, 15810
16/5/2014, 18430
17/5/2014, 18560
18/5/2014, 15957
19/5/2014, 17605
20/5/2014, 17459
21/5/2014, 15113
22/5/2014, 13838
23/5/2014, 16325
24/5/2014, 17005
25/5/2014, 17683
26/5/2014, 17534
27/5/2014, 17587
28/5/2014, 15236
29/5/2014, 15482
30/5/2014, 19860
1/6/2014, 20443
2/6/2014, 21375
3/6/2014, 22046
4/6/2014, 22659
5/6/2014, 16997
6/6/2014, 17331
7/6/2014, 22248
8/6/2014, 24425
9/6/2014, 24542
10/6/2014, 23242
11/6/2014, 20939
12/6/2014, 16719
13/6/2014, 16133
14/6/2014, 20287
15/6/2014, 25031
16/6/2014, 21984
17/6/2014, 23305
18/6/2014, 25897
19/6/2014, 20261
20/6/2014, 16827
21/6/2014, 18501
22/6/2014, 18386
23/6/2014, 20612
24/6/2014, 20448
25/6/2014, 19971
26/6/2014, 16000
27/6/2014, 15621
28/6/2014, 23384
29/6/2014, 21797
30/6/2014, 22092
31/6/2014, 22160
1/7/2014, 21585
2/7/2014, 18531
3/7/2014, 17187
4/7/2014, 20609
5/7/2014, 21073
6/7/2014, 22471
7/7/2014, 24516
8/7/2014, 23126
9/7/2014, 21820
10/7/2014, 20814
11/7/2014, 21388
12/7/2014, 22551
13/7/2014, 23725
14/7/2014, 24887
15/7/2014, 22725
16/7/2014, 23487
17/7/2014, 22608
18/7/2014, 21867
19/7/2014, 24106
20/7/2014, 26924
21/7/2014, 22176
22/7/2014, 21222
23/7/2014, 17389
24/7/2014, 16318
25/7/2014, 19062
26/7/2014, 19596
27/7/2014, 19625
28/7/2014, 22229
29/7/2014, 19838
30/7/2014, 18905
31/7/2014, 17226
1/8/2014, 18661
2/8/2014, 22901
3/8/2014, 22113
4/8/2014, 24968
5/8/2014, 22368
6/8/2014, 21053
7/8/2014, 17730
8/8/2014, 22751
9/8/2014, 16169
10/8/2014, 16616
11/8/2014, 27367
12/8/2014, 24097
13/8/2014, 18209
14/8/2014, 18671
15/8/2014, 23392
16/8/2014, 21176
17/8/2014, 27946
18/8/2014, 21135
19/8/2014, 20775
20/8/2014, 17607
21/8/2014, 17026
22/8/2014, 14984
23/8/2014, 23489
24/8/2014, 20675
25/8/2014, 20757
26/8/2014, 19512
27/8/2014, 17202
28/8/2014, 16636
29/8/2014, 19660
30/8/2014, 21073
1/9/2014, 18636
2/9/2014, 18380
3/9/2014, 20207
4/9/2014, 18214
5/9/2014, 20031
6/9/2014, 25065
7/9/2014, 22543
8/9/2014, 24408
9/9/2014, 24075
10/9/2014, 19090
11/9/2014, 17107
12/9/2014, 17072
13/9/2014, 22018
14/9/2014, 25804
15/9/2014, 23992
16/9/2014, 24445
17/9/2014, 21491
18/9/2014, 20572
19/9/2014, 18259
20/9/2014, 23312
21/9/2014, 22499
22/9/2014, 20348
23/9/2014, 21036
24/9/2014, 11147
25/9/2014, 22449
26/9/2014, 20090
27/9/2014, 21632
28/9/2014, 20173
29/9/2014, 22081
30/9/2014, 22855
31/9/2014, 22906
1/10/2014, 30263
2/10/2014, 21408
3/10/2014, 26060
4/10/2014, 20992
5/10/2014, 20871
6/10/2014, 24348
7/10/2014, 24244
8/10/2014, 18964
9/10/2014, 18949
10/10/2014, 22516
11/10/2014, 23156
12/10/2014, 25601
13/10/2014, 26798
14/10/2014, 23449
15/10/2014, 21104
16/10/2014, 21652
17/10/2014, 25728
18/10/2014, 28238
19/10/2014, 25117
20/10/2014, 23707
21/10/2014, 24577
22/10/2014, 22344
23/10/2014, 20544
24/10/2014, 25545
25/10/2014, 25985
26/10/2014, 27929
27/10/2014, 25790
28/10/2014, 24830
29/10/2014, 26555
30/10/2014, 20117
1/11/2014, 26508
2/11/2014, 32744
3/11/2014, 24990
4/11/2014, 26370
5/11/2014, 25043
6/11/2014, 21503
7/11/2014, 21983
8/11/2014, 24899
9/11/2014, 27224
10/11/2014, 25421
11/11/2014, 32162
12/11/2014, 25383
13/11/2014, 26584
14/11/2014, 23579
15/11/2014, 26094
16/11/2014, 27622
17/11/2014, 28350
18/11/2014, 26969
19/11/2014, 23574
20/11/2014, 23524
21/11/2014, 21411
22/11/2014, 23172
23/11/2014, 25504
24/11/2014, 24192
25/11/2014, 21216
26/11/2014, 21728
27/11/2014, 21543
28/11/2014, 18427
29/11/2014, 19605
30/11/2014, 19477
31/11/2014, 20017
1/0/2015, 18681
2/0/2015, 9385
3/0/2015, null
4/0/2015, 7300
5/0/2015, 23092
6/0/2015, 25041
7/0/2015, 26987
8/0/2015, 22546
9/0/2015, 30439
10/0/2015, 22162
11/0/2015, 20760
12/0/2015, 24861
13/0/2015, 30086
14/0/2015, 35414
15/0/2015, 26417
16/0/2015, 26448
17/0/2015, 19187
18/0/2015, 24812
19/0/2015, 27548
20/0/2015, 26982
21/0/2015, 24660
22/0/2015, 25882
23/0/2015, 24058
24/0/2015, 32718
25/0/2015, 21312
26/0/2015, 33929
27/0/2015, 26135
28/0/2015, 27422
29/0/2015, 25184
30/0/2015, 22919
31/0/2015, 18146
1/1/2015, 19445
2/1/2015, 24761
3/1/2015, 33419
4/1/2015, 22995
5/1/2015, 28935
6/1/2015, 23289
7/1/2015, 19540
8/1/2015, 20792
9/1/2015, 24642
10/1/2015, 24331
11/1/2015, 39339
12/1/2015, 25742
13/1/2015, 27697
14/1/2015, 19041
15/1/2015, 21846
16/1/2015, 24782
17/1/2015, 24354
18/1/2015, 22628
19/1/2015, 24979
20/1/2015, 29514
21/1/2015, 20543
22/1/2015, 20579
23/1/2015, 23428
24/1/2015, 24385
25/1/2015, 24137
26/1/2015, 26283
27/1/2015, 30545
28/1/2015, 20811
1/2/2015, 18895
2/2/2015, 23297
3/2/2015, 25764
4/2/2015, 25007
5/2/2015, 24174
6/2/2015, 22774
7/2/2015, 19322
8/2/2015, 19396
9/2/2015, 23937
10/2/2015, 28378
11/2/2015, 25733
12/2/2015, 24527
13/2/2015, 25574
14/2/2015, 21952
15/2/2015, 24161
16/2/2015, 24071
17/2/2015, 36584
18/2/2015, 24807
19/2/2015, 31393
20/2/2015, 26773
21/2/2015, 23297
22/2/2015, 27846
23/2/2015, 34762
24/2/2015, 31576
25/2/2015, 35297
26/2/2015, 37079
27/2/2015, 36691
28/2/2015, 31697
29/2/2015, 31897
30/2/2015, 38669
31/2/2015, 35388
1/3/2015, 34237
2/3/2015, 29264
3/3/2015, 30317
4/3/2015, 27885
5/3/2015, 29227
6/3/2015, 29046
7/3/2015, 29994
8/3/2015, 37076
9/3/2015, 37353
10/3/2015, 28657
11/3/2015, 27225
12/3/2015, 25877
13/3/2015, 29205
14/3/2015, 30124
15/3/2015, 28598
16/3/2015, 34517
17/3/2015, 28275
18/3/2015, 25659
19/3/2015, 26993
20/3/2015, 28470
21/3/2015, 32701
22/3/2015, 30895
23/3/2015, 30202
24/3/2015, 35266
25/3/2015, 25715
26/3/2015, 36471
27/3/2015, 39066
28/3/2015, 31957
29/3/2015, 30639
30/3/2015, 29720
1/4/2015, 27237
2/4/2015, 25012
3/4/2015, 27042
4/4/2015, 29448
5/4/2015, 27820
6/4/2015, 29624
7/4/2015, 27526
8/4/2015, 25655
9/4/2015, 23791
10/4/2015, 31503
11/4/2015, 32317
12/4/2015, 30635
13/4/2015, 30934
