date,twitter_count,twitter_percent_change,interest_rate,interest_percent_change,bitcoin_value,bitcoin_percent_change,volume,%_volume
2018-10-01,31878.0,0.1530782029950084,7.55290916299242,0.0749999999999999,6598.84,-0.411,1908960743.0,-16.795
2018-10-02,31648.0,-0.0072150072150072,6.850312961783823,-0.0930232558139534,6524.61,-1.125,1893760873.0,-0.796
2018-10-03,31711.0,0.0019906471183013,7.377260112690271,0.0769230769230768,6499.26,-0.389,2035903501.0,7.506
2018-10-04,34224.0,0.0792469490082306,7.201611062388122,-0.0238095238095237,6578.7,1.222,2247969611.0,10.416
2018-10-05,34221.0,-8.765778401120805e-05,6.850312961783823,-0.048780487804878,6621.19,0.646,2059404665.0,-8.388
2018-10-06,29246.0,-0.1453785687151164,6.674663911481674,-0.0256410256410255,6589.12,-0.484,1840911130.0,-10.61
2018-10-07,28503.0,-0.0254051836148533,5.972067710273077,-0.1052631578947368,6584.83,-0.065,1464404366.0,-20.452
2018-10-08,37692.0,0.3223871171455637,7.201611062388122,0.2058823529411764,6653.09,1.037,1499424737.0,2.391
2018-10-09,35538.0,-0.0571474052849411,7.377260112690271,0.024390243902439,6633.75,-0.291,2081626437.0,38.828
2018-10-10,33842.0,-0.0477235635094828,7.55290916299242,0.0238095238095237,6582.46,-0.773,1741398467.0,-16.344
2018-10-11,32278.0,-0.0462147627208794,10.011995867222511,0.3255813953488373,6234.37,-5.288,2070407902.0,18.893
2018-10-12,28937.0,-0.1035070326538198,7.55290916299242,-0.2456140350877194,6285.59,0.822,3581191343.0,72.97
2018-10-13,27760.0,-0.0406745688910391,5.972067710273077,-0.2093023255813952,6314.88,0.466,2295615181.0,-35.898
2018-10-14,28150.0,0.0140489913544668,7.025962012085972,0.1764705882352939,6328.55,0.216,1851879465.0,-19.33
2018-10-15,35275.0,0.2531083481349911,8.958101565409615,0.2750000000000001,6659.88,5.235,1847113724.0,-0.257
2018-10-16,35006.0,-0.0076257973068745,7.904207263596719,-0.1176470588235294,6635.13,-0.372,6217858944.0,236.626
2018-10-17,33145.0,-0.0531623150317088,7.55290916299242,-0.0444444444444445,6635.74,0.009,2746546151.0,-55.828
2018-10-18,30155.0,-0.0902096847186604,7.904207263596719,0.0465116279069768,6517.51,-1.782,2820354466.0,2.687
2018-10-19,28097.0,-0.0682473884927872,6.850312961783823,-0.1333333333333334,6483.83,-0.517,2625598931.0,-6.905
2018-10-20,23204.0,-0.1741467060540271,6.147716760575226,-0.1025641025641025,6532.68,0.753,2652532022.0,1.026
2018-10-21,22298.0,-0.0390449922427167,6.323365810877375,0.0285714285714284,6529.67,-0.046,2387105749.0,-10.007
2018-10-22,30300.0,0.3588662660328281,7.201611062388122,0.138888888888889,6512.59,-0.262,2127987153.0,-10.855
2018-10-23,30702.0,0.0132673267326732,7.728558213294569,0.0731707317073169,6472.8,-0.611,2655159955.0,24.773
2018-10-24,29969.0,-0.023874666145528,7.55290916299242,-0.0227272727272727,6481.44,0.133,2784381147.0,4.867
2018-10-25,25693.0,-0.1426807701291333,7.201611062388122,-0.0465116279069767,6458.19,-0.359,2607022302.0,-6.37
2018-10-26,25493.0,-0.0077842213832561,6.850312961783823,-0.048780487804878,6468.83,0.165,2618534041.0,0.442
2018-10-27,20631.0,-0.1907190209077001,5.796418659970927,-0.1538461538461538,6457.06,-0.182,2698016931.0,3.035
2018-10-28,20711.0,0.0038776598322911,5.445120559366629,-0.0606060606060605,6481.32,0.376,2383295891.0,-11.665
2018-10-29,26541.0,0.2814929264641979,7.377260112690271,0.3548387096774192,6292.65,-2.911,2065446089.0,-13.337
2018-10-30,25290.0,-0.0471346219057308,7.201611062388122,-0.0238095238095237,6331.78,0.622,3631795693.0,75.836
2018-11-01,31618.0,0.0,7.55290916299242,-0.0227272727272727,6379.97,0.208,2042670545.0,4.101
