date,market_cap,close,%_close,gain/loss
2020-10-01,199310441689.0,10627.98,-1.327,-142.9
2020-10-02,196617081791.0,10572.67,-0.52,-55.31
2020-10-03,195660035180.0,10546.66,-0.246,-26.01
2020-10-04,195188285650.0,10670.7,1.176,124.04
2020-10-05,197494664454.0,10784.95,1.071,114.25
2020-10-06,199530129891.0,10605.96,-1.66,-178.99
2020-10-07,196314284797.0,10668.01,0.585,62.05
2020-10-08,197575523785.0,10888.67,2.068,220.66
2020-10-09,201518932274.0,11063.25,1.603,174.58
2020-10-10,204809205392.0,11286.54,2.018,223.29
2020-10-11,209268690953.0,11377.81,0.809,91.27
2020-10-12,210799352797.0,11543.18,1.453,165.37
2020-10-13,213726225963.0,11426.11,-1.014,-117.07
2020-10-14,211576163358.0,11435.57,0.083,9.46
2020-10-15,211756280001.0,11495.58,0.525,60.01
2020-10-16,212878404237.0,11319.1,-1.535,-176.48
2020-10-17,209993205751.0,11365.81,0.413,46.71
2020-10-18,210421523307.0,11495.9,1.145,130.09
2020-10-19,212752326976.0,11752.15,2.229,256.25
2020-10-20,217391050813.0,11908.71,1.332,156.56
2020-10-21,220404884319.0,12806.44,7.538,897.73
2020-10-22,236717318526.0,12951.04,1.129,144.6
2020-10-23,240257678154.0,12928.07,-0.177,-22.97
2020-10-24,239590543524.0,13106.05,1.377,177.98
2020-10-25,239590543524.0,13021.41,-0.646,-84.64
2020-10-26,241326618199.0,13060.79,0.302,39.38
2020-10-27,242141178090.0,13655.19,4.551,594.4
2020-10-28,253004886697.0,13283.0,-2.726,-372.19
2020-10-29,245661872194.0,13441.88,1.196,158.88
2020-10-30,249545455596.0,13537.17,0.709,95.29
2020-10-31,250845436638.0,13778.64,1.784,241.47
2020-11-01,255329261021.0,13720.36,-0.423,-58.28
2020-11-02,254260250528.0,13558.36,-1.181,-162.0
2020-11-03,251266177558.0,13989.98,3.183,431.62
2020-11-04,259277183165.0,14101.72,0.799,111.74
2020-11-05,261103557611.0,15553.33,10.294,1451.61
2020-11-06,288118007577.0,15548.31,-0.032,-5.02
2020-11-07,288563189165.0,14818.46,-4.694,-729.85
2020-11-08,274687727890.0,15496.32,4.574,677.86
2020-11-09,287116472704.0,15335.34,-1.039,-160.98
2020-11-10,284292217076.0,15278.71,-0.369,-56.63
2020-11-11,283242342239.0,15686.91,2.672,408.2
2020-11-12,291215273242.0,16265.15,3.686,578.24
2020-11-13,301529322417.0,16326.81,0.379,61.66
2020-11-14,302672502422.0,16095.56,-1.416,-231.25
2020-11-15,298290647831.0,15984.67,-0.689,-110.89
2020-11-16,296277008765.0,16714.4,4.565,729.73
2020-11-17,309857769717.0,17651.82,5.608,937.42
2020-11-18,327448838765.0,17829.93,1.009,178.11
2020-11-19,330792375072.0,17819.76,-0.057,-10.17
2020-11-20,330526082019.0,18628.81,4.54,809.05
2020-11-21,345552251091.0,18689.53,0.326,60.72
2020-11-22,346623937352.0,18390.61,-1.599,-298.92
2020-11-23,342078349285.0,18360.69,-0.163,-29.92
2020-11-24,340635146714.0,19091.52,3.98,730.83
2020-11-25,354209935574.0,18753.29,-1.772,-338.23
2020-11-26,348158099247.0,17138.03,-8.613,-1615.26
2020-11-27,317999016791.0,17140.28,0.013,2.25
2020-11-28,318057301370.0,17718.97,3.376,578.69
2020-11-29,328812520406.0,18169.95,2.545,450.98
2020-11-30,336495192223.0,19609.52,7.923,1439.57
2020-12-01,363927715779.0,18857.42,-3.835,-752.1
2020-12-02,349587593227.0,19208.4,1.861,350.98
2020-12-03,356517705143.0,19435.2,1.181,226.8
2020-12-04,360661550057.0,18711.23,-3.725,-723.97
2020-12-05,347850442857.0,19139.11,2.287,427.88
2020-12-06,355244908735.0,19325.55,0.974,186.44
2020-12-07,358762118305.0,19198.81,-0.656,-126.74
2020-12-08,356587934226.0,18336.51,-4.491,-862.3
2020-12-09,340435142948.0,18564.99,1.246,228.48
2020-12-10,344693077430.0,18262.06,-1.632,-302.93
2020-12-11,339714540194.0,18058.03,-1.117,-204.03
2020-12-12,335310805699.0,18807.1,4.148,749.07
2020-12-13,349235537026.0,19151.13,1.829,344.03
2020-12-14,355642790361.0,19259.97,0.568,108.84
2020-12-15,357681110300.0,19432.36,0.895,172.39
2020-12-16,360542942205.0,21318.0,9.704,1885.64
2020-12-17,396179736656.0,22806.0,6.98,1488.0
2020-12-18,423587689809.0,23121.0,1.381,315.0
2020-12-19,429459534590.0,23864.0,3.214,743.0
2020-12-20,443289431125.0,23518.0,-1.45,-346.0
2020-12-21,436893169133.0,22841.0,-2.879,-677.0
