date,bitcoin_value,gold_value,nasdaq_value,oil_value
2020-10-01,10627.98,1908.400024,11326.509766,38.720001
2020-10-02,10572.67,1900.199951,11075.019531,37.049999
2020-10-05,10784.95,1912.5,11332.490234,39.220001
2020-10-06,10605.96,1901.099976,11154.599609,40.669998
2020-10-07,10668.01,1883.599976,11364.599609,39.950001
2020-10-08,10888.67,1888.599976,11420.980469,41.189999
2020-10-09,11063.25,1919.5,11579.94043,40.599998
2020-10-12,11543.18,1922.5,11876.259766,39.43
2020-10-13,11426.11,1888.5,11863.900391,40.200001
2020-10-14,11435.57,1901.300049,11768.730469,41.040001
2020-10-15,11495.58,1903.199951,11713.870117,40.959999
2020-10-16,11319.1,1900.800049,11671.55957,40.880001
2020-10-19,11752.15,1906.400024,11478.879883,40.830002
2020-10-20,11908.71,1910.400024,11516.490234,41.459999
2020-10-21,12806.44,1924.599976,11484.69043,40.029999
2020-10-22,12951.04,1901.099976,11506.009766,40.639999
2020-10-23,12928.07,1902.0,11548.280273,39.849998
2020-10-26,13060.79,1902.699951,11358.94043,38.560001
2020-10-27,13655.19,1908.800049,11431.349609,39.57
2020-10-28,13283.0,1876.199951,11004.870117,37.389999
2020-10-29,13441.88,1865.599976,11185.589844,36.169998
2020-10-30,13537.17,1877.400024,10911.589844,35.790001
2020-11-02,13558.36,1890.400024,10957.610352,36.810001
2020-11-03,13989.98,1908.5,11160.570313,37.66
2020-11-04,14101.72,1894.599976,11590.780273,39.150002
2020-11-05,15553.33,1945.300049,11890.929688,38.790001
2020-11-06,15548.31,1950.300049,11895.230469,37.139999
2020-11-09,15335.34,1853.199951,11713.780273,40.290001
2020-11-10,15278.71,1875.400024,11553.860352,41.360001
2020-11-11,15686.91,1860.699951,11786.429688,41.450001
2020-11-12,16265.15,1872.599976,11709.589844,41.119999
2020-11-13,16326.81,1885.699951,11829.290039,40.130001
2020-11-16,16714.4,1887.300049,11924.129883,41.34
2020-11-17,17651.82,1884.5,11899.339844,41.43
2020-11-18,17829.93,1873.5,11801.599609,41.82
2020-11-19,17819.76,1861.099976,11904.709961,41.740002
2020-11-20,18628.81,1872.599976,11854.969727,42.150002
2020-11-23,18360.69,1837.800049,11880.629883,43.060001
2020-11-24,19091.52,1804.800049,12036.790039,44.91
