symbol,date,open,high,low,close,adjusted Close,volume
CL=F,"Dec 03, 2021",67.50,69.22,65.60,66.26,66.26,"668,293"
CL=F,"Dec 02, 2021",65.63,67.49,62.43,66.50,66.50,"668,293"
CL=F,"Dec 01, 2021",67.01,69.49,64.84,65.57,65.57,"602,447"
CL=F,"Nov 30, 2021",70.04,71.22,64.43,66.18,66.18,"722,475"
CL=F,"Nov 29, 2021",69.23,72.93,68.86,69.95,69.95,"675,090"
CL=F,"Nov 26, 2021",78.34,78.65,67.40,68.15,68.15,"844,630"
CL=F,"Nov 25, 2021",78.34,78.65,77.76,78.03,78.03,"328,848"
CL=F,"Nov 24, 2021",78.48,79.23,77.98,78.39,78.39,"328,848"
CL=F,"Nov 23, 2021",76.46,78.86,75.30,78.50,78.50,"506,987"
CL=F,"Nov 22, 2021",75.75,77.16,74.76,76.75,76.75,"465,768"
CL=F,"Nov 19, 2021",78.76,79.92,75.37,76.10,76.10,"623,448"
CL=F,"Nov 18, 2021",78.34,79.36,77.08,79.01,79.01,"83,984"
CL=F,"Nov 17, 2021",80.54,80.69,77.69,78.36,78.36,"174,471"
CL=F,"Nov 16, 2021",80.93,81.81,80.03,80.76,80.76,"325,668"
CL=F,"Nov 15, 2021",80.66,81.20,79.30,80.88,80.88,"343,484"
CL=F,"Nov 12, 2021",81.21,81.62,79.78,80.79,80.79,"390,304"
CL=F,"Nov 11, 2021",81.41,82.33,80.20,81.59,81.59,"475,436"
CL=F,"Nov 10, 2021",84.53,84.97,80.81,81.34,81.34,"555,215"
CL=F,"Nov 09, 2021",82.16,84.63,81.78,84.15,84.15,"504,832"
CL=F,"Nov 08, 2021",81.13,82.67,81.05,81.93,81.93,"393,953"
CL=F,"Nov 04, 2021",79.37,81.80,78.96,81.27,81.27,"531,054"
CL=F,"Nov 03, 2021",80.18,83.42,78.25,78.81,78.81,"701,119"
CL=F,"Nov 02, 2021",83.07,83.08,79.69,80.86,80.86,"546,577"
CL=F,"Nov 01, 2021",83.87,84.41,82.92,83.91,83.91,"429,608"
CL=F,"Oct 31, 2021",83.36,84.88,82.74,84.05,84.05,"412,309"
CL=F,"Oct 28, 2021",83.09,83.74,81.41,83.57,83.57,"507,309"
CL=F,"Oct 27, 2021",82.25,83.21,80.58,82.81,82.81,"491,585"
CL=F,"Oct 26, 2021",84.39,84.51,82.01,82.66,82.66,"529,952"
CL=F,"Oct 25, 2021",83.72,84.88,82.97,84.65,84.65,"467,716"
CL=F,"Oct 24, 2021",83.98,85.41,83.39,83.76,83.76,"568,725"
CL=F,"Oct 21, 2021",82.61,84.22,81.76,83.76,83.76,"465,355"
CL=F,"Oct 20, 2021",83.58,83.96,80.79,82.50,82.50,"567,503"
CL=F,"Oct 19, 2021",83.34,84.25,81.30,83.87,83.87,"530,693"
CL=F,"Oct 18, 2021",82.37,83.74,81.80,82.96,82.96,"82,607"
CL=F,"Oct 17, 2021",82.60,83.87,81.84,82.44,82.44,"134,098"
CL=F,"Oct 14, 2021",81.48,82.66,81.39,82.28,82.28,"277,953"
CL=F,"Oct 13, 2021",80.59,81.68,80.38,81.31,81.31,"399,813"
CL=F,"Oct 12, 2021",80.58,81.04,79.42,80.44,80.44,"487,220"
CL=F,"Oct 11, 2021",80.50,81.62,79.47,80.64,80.64,"598,181"
CL=F,"Oct 10, 2021",79.59,82.18,79.55,80.52,80.52,"653,756"
CL=F,"Oct 07, 2021",78.86,80.11,78.63,79.35,79.35,"662,010"
CL=F,"Oct 06, 2021",77.00,78.89,74.96,78.30,78.30,"545,008"
CL=F,"Oct 05, 2021",79.04,79.78,76.83,77.43,77.43,"459,055"
CL=F,"Oct 04, 2021",77.58,79.48,77.47,78.93,78.93,"449,617"
CL=F,"Oct 03, 2021",75.90,78.38,75.32,77.62,77.62,"458,006"
CL=F,"Sep 30, 2021",75.12,75.99,74.23,75.88,75.88,"388,996"
CL=F,"Sep 29, 2021",74.78,76.07,73.14,75.03,75.03,"583,189"
CL=F,"Sep 28, 2021",74.38,75.79,73.74,74.83,74.83,"424,193"
CL=F,"Sep 27, 2021",75.43,76.67,74.24,75.29,75.29,"476,143"
CL=F,"Sep 26, 2021",74.19,75.75,74.16,75.45,75.45,"417,829"
CL=F,"Sep 23, 2021",73.24,74.27,72.81,73.98,73.98,"350,382"
CL=F,"Sep 22, 2021",71.97,73.50,71.61,73.30,73.30,"403,405"
CL=F,"Sep 21, 2021",70.85,72.30,70.64,72.23,72.23,"381,061"
CL=F,"Sep 20, 2021",70.59,71.63,69.67,70.56,70.56,"393,403"
CL=F,"Sep 19, 2021",71.92,72.08,69.86,70.29,70.29,"75,837"
CL=F,"Sep 16, 2021",72.62,72.72,71.21,71.97,71.97,"119,933"
CL=F,"Sep 15, 2021",72.65,72.99,71.53,72.61,72.61,"298,412"
CL=F,"Sep 14, 2021",70.76,73.14,70.65,72.61,72.61,"418,665"
CL=F,"Sep 13, 2021",70.64,71.22,69.98,70.46,70.46,"414,231"
CL=F,"Sep 12, 2021",69.74,70.97,69.51,70.45,70.45,"390,939"
CL=F,"Sep 09, 2021",67.97,69.96,67.68,69.72,69.72,"411,079"
CL=F,"Sep 08, 2021",69.36,69.89,67.56,68.14,68.14,"556,451"
CL=F,"Sep 07, 2021",68.37,69.75,68.31,69.30,69.30,"389,325"
CL=F,"Sep 06, 2021",69.11,69.48,67.64,68.35,68.35,"481,704"
