symbol,date,open,high,low,close,adjusted Close,volume
GC=F,"Dec 03, 2021","1,769.40","1,779.90","1,766.00","1,770.90","1,770.90","112,673"
GC=F,"Dec 02, 2021","1,780.90","1,780.90","1,760.60","1,760.70","1,760.70","1,128"
GC=F,"Dec 01, 2021","1,774.80","1,790.50","1,772.30","1,781.60","1,781.60","1,128"
GC=F,"Nov 30, 2021","1,783.90","1,808.10","1,768.70","1,773.60","1,773.60","4,903"
GC=F,"Nov 29, 2021","1,791.70","1,798.90","1,779.10","1,782.30","1,782.30","26,926"
GC=F,"Nov 26, 2021","1,791.10","1,791.40","1,785.30","1,785.30","1,785.30","186,800"
GC=F,"Nov 25, 2021","1,791.10","1,791.40","1,791.10","1,791.40","1,791.40",188
GC=F,"Nov 24, 2021","1,793.00","1,793.00","1,781.40","1,784.10","1,784.10",188
GC=F,"Nov 23, 2021","1,795.50","1,795.50","1,783.50","1,783.50","1,783.50",264
GC=F,"Nov 22, 2021","1,841.60","1,841.60","1,805.70","1,806.00","1,806.00",14
GC=F,"Nov 19, 2021","1,851.20","1,851.20","1,851.20","1,851.20","1,851.20",21
GC=F,"Nov 18, 2021","1,861.00","1,861.00","1,861.00","1,861.00","1,861.00",9
GC=F,"Nov 17, 2021","1,862.60","1,869.70","1,862.60","1,869.70","1,869.70",2
GC=F,"Nov 16, 2021","1,853.60","1,853.60","1,853.60","1,853.60","1,853.60",1
GC=F,"Nov 15, 2021","1,864.50","1,866.90","1,864.50","1,866.10","1,866.10",87
GC=F,"Nov 12, 2021","1,860.80","1,867.90","1,847.60","1,867.90","1,867.90",210
GC=F,"Nov 11, 2021","1,853.90","1,866.50","1,853.90","1,863.20","1,863.20",292
GC=F,"Nov 10, 2021","1,825.80","1,865.00","1,824.90","1,847.60","1,847.60",795
GC=F,"Nov 09, 2021","1,826.10","1,832.70","1,820.70","1,830.20","1,830.20",170
GC=F,"Nov 08, 2021","1,817.00","1,827.40","1,816.90","1,827.40","1,827.40",261
GC=F,"Nov 04, 2021","1,794.90","1,817.10","1,794.90","1,816.40","1,816.40",239
GC=F,"Nov 03, 2021","1,776.60","1,798.20","1,776.20","1,793.00","1,793.00",103
GC=F,"Nov 02, 2021","1,768.00","1,768.00","1,761.80","1,763.60","1,763.60",108
GC=F,"Nov 01, 2021","1,790.50","1,795.50","1,787.70","1,788.70","1,788.70",213
GC=F,"Oct 31, 2021","1,787.50","1,795.10","1,786.70","1,795.10","1,795.10",142
GC=F,"Oct 28, 2021","1,793.10","1,797.00","1,774.60","1,783.00","1,783.00",583
GC=F,"Oct 27, 2021","1,795.50","1,807.30","1,795.50","1,801.60","1,801.60",452
GC=F,"Oct 26, 2021","1,791.50","1,798.10","1,791.50","1,797.90","1,797.90",543
GC=F,"Oct 25, 2021","1,808.80","1,808.80","1,788.60","1,792.70","1,792.70",359
GC=F,"Oct 24, 2021","1,794.30","1,809.00","1,794.00","1,806.00","1,806.00",140
GC=F,"Oct 21, 2021","1,787.10","1,806.90","1,784.00","1,795.50","1,795.50",532
GC=F,"Oct 20, 2021","1,782.00","1,785.70","1,781.00","1,781.20","1,781.20",146
GC=F,"Oct 19, 2021","1,774.60","1,785.60","1,774.00","1,784.10","1,784.10",127
GC=F,"Oct 18, 2021","1,777.60","1,785.00","1,767.50","1,769.70","1,769.70",51
GC=F,"Oct 17, 2021","1,761.60","1,770.10","1,759.50","1,764.80","1,764.80",266
GC=F,"Oct 14, 2021","1,794.50","1,795.40","1,766.60","1,767.20","1,767.20",874
GC=F,"Oct 13, 2021","1,792.20","1,799.90","1,792.00","1,796.70","1,796.70",337
GC=F,"Oct 12, 2021","1,760.80","1,794.50","1,760.80","1,793.70","1,793.70",150
GC=F,"Oct 11, 2021","1,751.90","1,768.00","1,749.80","1,758.30","1,758.30",139
GC=F,"Oct 10, 2021","1,756.60","1,757.80","1,752.20","1,754.60","1,754.60",128
GC=F,"Oct 07, 2021","1,757.00","1,780.00","1,754.20","1,756.30","1,756.30",254
GC=F,"Oct 06, 2021","1,762.40","1,762.40","1,752.80","1,757.90","1,757.90",336
GC=F,"Oct 05, 2021","1,759.30","1,762.90","1,744.70","1,760.50","1,760.50",56
GC=F,"Oct 04, 2021","1,764.30","1,764.30","1,749.00","1,759.60","1,759.60",98
GC=F,"Oct 03, 2021","1,764.50","1,768.90","1,749.50","1,766.20","1,766.20",417
GC=F,"Sep 30, 2021","1,754.30","1,762.60","1,748.50","1,757.00","1,757.00","2,220"
GC=F,"Sep 29, 2021","1,725.50","1,760.30","1,724.50","1,755.30","1,755.30",997
GC=F,"Sep 28, 2021","1,732.40","1,744.10","1,721.40","1,721.50","1,721.50","6,634"
GC=F,"Sep 27, 2021","1,739.60","1,741.70","1,726.80","1,735.80","1,735.80","15,748"
GC=F,"Sep 26, 2021","1,751.70","1,754.40","1,747.50","1,750.00","1,750.00",808
GC=F,"Sep 23, 2021","1,749.70","1,749.70","1,745.00","1,749.70","1,749.70",76
GC=F,"Sep 22, 2021","1,766.80","1,766.80","1,738.20","1,747.70","1,747.70",31
GC=F,"Sep 21, 2021","1,776.70","1,784.30","1,767.00","1,776.70","1,776.70",17
GC=F,"Sep 20, 2021","1,762.20","1,776.00","1,759.00","1,776.00","1,776.00",106
GC=F,"Sep 19, 2021","1,751.80","1,761.80","1,750.90","1,761.80","1,761.80",185
GC=F,"Sep 16, 2021","1,758.80","1,763.00","1,749.40","1,749.40","1,749.40",581
GC=F,"Sep 15, 2021","1,792.90","1,792.90","1,743.90","1,754.60","1,754.60","1,645"
GC=F,"Sep 14, 2021","1,803.70","1,803.70","1,792.40","1,792.40","1,792.40",59
GC=F,"Sep 13, 2021","1,791.40","1,806.20","1,783.00","1,804.70","1,804.70",764
GC=F,"Sep 12, 2021","1,789.80","1,796.00","1,784.00","1,792.00","1,792.00",533
GC=F,"Sep 09, 2021","1,789.60","1,789.60","1,789.60","1,789.60","1,789.60",-
GC=F,"Sep 08, 2021","1,798.70","1,798.70","1,787.90","1,797.40","1,797.40",49
GC=F,"Sep 07, 2021","1,781.70","1,790.70","1,781.70","1,790.70","1,790.70",69
GC=F,"Sep 06, 2021","1,825.70","1,825.70","1,792.70","1,795.90","1,795.90",48
GC=F,"Sep 02, 2021","1,820.90","1,833.90","1,818.90","1,830.90","1,830.90",53
GC=F,"Sep 01, 2021","1,813.20","1,813.90","1,806.80","1,808.70","1,808.70",26
GC=F,"Aug 31, 2021","1,813.50","1,815.90","1,809.50","1,813.10","1,813.10",114
GC=F,"Aug 30, 2021","1,815.90","1,815.90","1,801.10","1,815.00","1,815.00",82
GC=F,"Aug 29, 2021","1,818.20","1,820.30","1,807.80","1,809.00","1,809.00",684
GC=F,"Aug 26, 2021","1,803.40","1,816.60","1,803.10","1,816.60","1,816.60","1,219"
GC=F,"Aug 25, 2021","1,787.40","1,792.20","1,781.00","1,792.20","1,792.20",61
GC=F,"Aug 24, 2021","1,792.00","1,792.90","1,784.00","1,788.20","1,788.20",812
GC=F,"Aug 23, 2021","1,801.00","1,805.60","1,801.00","1,805.60","1,805.60",22
GC=F,"Aug 22, 2021","1,776.80","1,804.80","1,776.80","1,803.20","1,803.20",32
GC=F,"Aug 19, 2021","1,784.10","1,787.50","1,778.20","1,781.00","1,781.00",235
GC=F,"Aug 18, 2021","1,780.00","1,789.30","1,775.50","1,780.20","1,780.20",245
GC=F,"Aug 17, 2021","1,787.80","1,791.50","1,779.00","1,781.60","1,781.60",263
GC=F,"Aug 16, 2021","1,787.70","1,794.20","1,780.00","1,785.00","1,785.00",200
GC=F,"Aug 15, 2021","1,776.90","1,787.80","1,771.90","1,786.90","1,786.90",219
GC=F,"Aug 12, 2021","1,758.30","1,777.30","1,757.40","1,775.20","1,775.20",436
GC=F,"Aug 11, 2021","1,749.70","1,752.40","1,745.50","1,749.00","1,749.00",739
GC=F,"Aug 10, 2021","1,727.30","1,752.20","1,727.30","1,750.40","1,750.40",542
GC=F,"Aug 09, 2021","1,728.60","1,735.20","1,720.10","1,728.80","1,728.80","1,363"
GC=F,"Aug 08, 2021","1,753.50","1,753.80","1,692.60","1,723.40","1,723.40","1,621"
GC=F,"Aug 05, 2021","1,799.80","1,800.10","1,758.40","1,760.00","1,760.00",859
GC=F,"Aug 04, 2021","1,810.80","1,813.70","1,796.00","1,805.10","1,805.10",588
GC=F,"Aug 03, 2021","1,809.30","1,831.30","1,806.30","1,810.50","1,810.50","2,860"
GC=F,"Aug 02, 2021","1,812.30","1,813.50","1,806.00","1,810.10","1,810.10","3,341"
GC=F,"Aug 01, 2021","1,812.40","1,818.70","1,804.80","1,818.10","1,818.10","1,334"
GC=F,"Jul 29, 2021","1,828.00","1,830.50","1,808.90","1,812.60","1,812.60","3,100"
GC=F,"Jul 28, 2021","1,806.60","1,832.60","1,806.10","1,831.20","1,831.20","30,496"
GC=F,"Jul 27, 2021","1,799.50","1,799.50","1,799.50","1,799.50","1,799.50","209,783"
GC=F,"Jul 26, 2021","1,803.70","1,803.70","1,799.50","1,799.50","1,799.50",1
GC=F,"Jul 25, 2021","1,802.50","1,802.50","1,797.20","1,798.70","1,798.70",17
GC=F,"Jul 22, 2021","1,800.00","1,801.40","1,800.00","1,801.40","1,801.40",1
GC=F,"Jul 21, 2021","1,793.60","1,805.00","1,793.60","1,805.00","1,805.00",2
GC=F,"Jul 20, 2021","1,807.00","1,807.00","1,800.00","1,802.90","1,802.90",135
GC=F,"Jul 19, 2021","1,812.90","1,824.00","1,810.90","1,810.90","1,810.90",128
GC=F,"Jul 18, 2021","1,803.30","1,813.40","1,803.30","1,808.70","1,808.70",33
GC=F,"Jul 15, 2021","1,830.10","1,831.40","1,814.50","1,814.50","1,814.50",78
symbol,date,open,high,low,close,adjusted Close,volume
GC=F,"Jul 14, 2021","1,831.60","1,833.00","1,823.40","1,828.40","1,828.40",99
GC=F,"Jul 13, 2021","1,813.10","1,829.00","1,813.10","1,824.30","1,824.30",707
GC=F,"Jul 12, 2021","1,808.10","1,812.00","1,800.60","1,809.40","1,809.40",78
GC=F,"Jul 11, 2021","1,802.60","1,805.50","1,799.50","1,805.50","1,805.50",147
GC=F,"Jul 08, 2021","1,803.60","1,810.10","1,798.80","1,810.00","1,810.00",218
GC=F,"Jul 07, 2021","1,797.00","1,818.50","1,797.00","1,799.60","1,799.60",148
