date,name,market_cap,perc_market_cap,volume,perc_volume,open,perc_open,close,perc_close,gain_loss,time_stamps
2021-11-01,Bitcoin,1159841954948.0,-0.00564,32494948461.0,0.02153,61472.0,-0.0059,61472.0,0.0,0.0,2021-12-07
2021-10-31,Bitcoin,1166423768410.0,-0.00987,31810216330.0,-0.17695,61837.0,-0.00716,61472.0,-0.0059,-365.0,2021-12-07
2021-10-30,Bitcoin,1178047465292.0,0.02804,38648967245.0,-0.26128,62283.0,0.02493,61837.0,-0.00716,-446.0,2021-12-07
2021-10-29,Bitcoin,1145912030969.0,0.03632,52318597557.0,0.1897,60768.0,0.03627,62283.0,0.02493,1515.0,2021-12-07
2021-10-28,Bitcoin,1105754837661.0,-0.03301,43976252157.0,0.32324,58641.0,-0.03239,60768.0,0.03627,2127.0,2021-12-07
2021-10-27,Bitcoin,1143497865065.0,-0.0408,33233702858.0,0.07717,60604.0,-0.0415,58641.0,-0.03239,-1963.0,2021-12-07
2021-10-26,Bitcoin,1192131994833.0,0.03366,30852852368.0,0.02903,63228.0,0.03359,60604.0,-0.0415,-2624.0,2021-12-07
2021-10-25,Bitcoin,1153315262663.0,-0.00676,29982535557.0,0.05183,61173.0,-0.00648,63228.0,0.03359,2055.0,2021-12-07
2021-10-24,Bitcoin,1161166467847.0,0.00839,28505039148.0,-0.30077,61572.0,0.0089,61173.0,-0.00648,-399.0,2021-12-07
2021-10-23,Bitcoin,1151508584005.0,-0.02326,40766460605.0,-0.16308,61029.0,-0.02418,61572.0,0.0089,543.0,2021-12-07
2021-10-22,Bitcoin,1178926819141.0,-0.05714,48709960686.0,0.19414,62541.0,-0.05581,61029.0,-0.02418,-1512.0,2021-12-07
2021-10-21,Bitcoin,1250376460616.0,0.02693,40790757382.0,-0.04136,66238.0,0.02666,62541.0,-0.05581,-3697.0,2021-12-07
2021-10-20,Bitcoin,1217582580303.0,0.03717,42550624869.0,0.07423,64518.0,0.04031,66238.0,0.02666,1720.0,2021-12-07
2021-10-19,Bitcoin,1173944883530.0,0.01145,39610183787.0,0.33701,62018.0,0.00705,64518.0,0.04031,2500.0,2021-12-07
2021-10-18,Bitcoin,1160650121142.0,0.0059,29625957542.0,-0.16276,61584.0,0.00683,62018.0,0.00705,434.0,2021-12-07
2021-10-17,Bitcoin,1153847028825.0,-0.00939,35385452269.0,-0.34048,61166.0,-0.0104,61584.0,0.00683,418.0,2021-12-07
2021-10-16,Bitcoin,1164782155730.0,0.07561,53653355008.0,0.49059,61809.0,0.07584,61166.0,-0.0104,-643.0,2021-12-07
2021-10-15,Bitcoin,1082900149763.0,-0.00043,35994603913.0,-0.1267,57452.0,-0.00063,61809.0,0.07584,4357.0,2021-12-07
2021-10-14,Bitcoin,1083366079899.0,0.02028,41216945749.0,0.02987,57488.0,0.02047,57452.0,-0.00063,-36.0,2021-12-07
2021-10-13,Bitcoin,1061829863954.0,-0.02112,40021384611.0,-0.04514,56335.0,-0.0215,57488.0,0.02047,1153.0,2021-12-07
