date,open,high,low,close,adjusted_close,volume,percent_change,name,source
2017-09-04,1335.2,1339.2,1328.6,1339.2,1339.2,39.0,,Gold,Yahoo Finance
2017-09-05,1340.0,1340.3,1332.6,1333.9,1333.9,20.0,-0.003957586618876907,Gold,Yahoo Finance
2017-09-06,1336.4,1349.0,1336.4,1345.1,1345.1,26.0,0.008396431516605407,Gold,Yahoo Finance
2017-09-07,1351.0,1355.8,1345.6,1346.0,1346.0,37.0,0.0006690952345551615,Gold,Yahoo Finance
2017-09-08,1351.0,1355.8,1345.6,1346.0,1346.0,37.0,0.0,Gold,Yahoo Finance
2017-09-09,1351.0,1355.8,1345.6,1346.0,1346.0,37.0,0.0,Gold,Yahoo Finance
2017-09-10,1331.0,1331.0,1327.3,1331.0,1331.0,9.0,-0.011144130757800852,Gold,Yahoo Finance
2017-09-11,1327.0,1328.0,1325.2,1328.0,1328.0,15.0,-0.002253944402704766,Gold,Yahoo Finance
2017-09-12,1323.4,1323.4,1323.4,1323.4,1323.4,16.0,-0.0034638554216867012,Gold,Yahoo Finance
2017-09-13,1319.6,1329.3,1319.6,1324.7,1324.7,316.0,0.0009823182711197198,Gold,Yahoo Finance
2017-09-14,1320.6,1321.2,1319.8,1320.4,1320.4,15.0,-0.003246017966331949,Gold,Yahoo Finance
2017-09-15,1320.6,1321.2,1319.8,1320.4,1320.4,15.0,0.0,Gold,Yahoo Finance
2017-09-16,1320.6,1321.2,1319.8,1320.4,1320.4,15.0,0.0,Gold,Yahoo Finance
2017-09-17,1309.8,1310.4,1306.0,1306.3,1306.3,129.0,-0.010678582247803825,Gold,Yahoo Finance
2017-09-18,1307.9,1310.3,1305.1,1306.2,1306.2,20.0,-7.655209369972216e-05,Gold,Yahoo Finance
2017-09-19,1312.0,1312.0,1298.7,1312.0,1312.0,12.0,0.004440361353544642,Gold,Yahoo Finance
2017-09-20,1299.1,1304.1,1290.3,1290.6,1290.6,336.0,-0.01631097560975614,Gold,Yahoo Finance
2017-09-21,1295.0,1295.7,1293.3,1293.3,1293.3,209.0,0.0020920502092049986,Gold,Yahoo Finance
2017-09-22,1295.0,1295.7,1293.3,1293.3,1293.3,209.0,0.0,Gold,Yahoo Finance
2017-09-23,1295.0,1295.7,1293.3,1293.3,1293.3,209.0,0.0,Gold,Yahoo Finance
2017-09-24,1293.1,1309.2,1291.0,1306.8,1306.8,51.0,0.010438413361169019,Gold,Yahoo Finance
2017-09-25,1304.5,1305.6,1297.0,1297.0,1297.0,39.0,-0.007499234771962016,Gold,Yahoo Finance
2017-09-26,1283.4,1283.4,1283.4,1283.4,1283.4,19488.0,-0.010485736314572058,Gold,Yahoo Finance
2017-09-27,1283.1,1288.0,1277.0,1285.5,1285.5,5226.0,0.0016362786348760316,Gold,Yahoo Finance
2017-09-28,1284.2,1289.4,1281.5,1281.5,1281.5,492.0,-0.003111629716063824,Gold,Yahoo Finance
2017-09-29,1284.2,1289.4,1281.5,1281.5,1281.5,492.0,0.0,Gold,Yahoo Finance
2017-09-30,1284.2,1289.4,1281.5,1281.5,1281.5,492.0,0.0,Gold,Yahoo Finance
2017-10-01,1275.0,1276.1,1270.4,1272.7,1272.7,136.0,-0.00686695278969951,Gold,Yahoo Finance
2017-10-02,1269.7,1273.3,1268.6,1271.5,1271.5,192.0,-0.0009428773473717511,Gold,Yahoo Finance
2017-10-03,1273.8,1280.8,1270.0,1273.7,1273.7,218.0,0.0017302398741643188,Gold,Yahoo Finance
