date,open,high,low,close,adjusted_close,volume,percent_change,name,source
2017-09-04,47.28,48.98,47.15,48.66,48.66,742808.0,,Oil,Yahoo Finance
2017-09-05,48.59,49.42,48.52,49.16,49.16,788963.0,0.01027538018906693,Oil,Yahoo Finance
2017-09-06,49.14,49.33,48.63,49.09,49.09,702514.0,-0.001423921887713453,Oil,Yahoo Finance
2017-09-07,49.09,49.26,47.27,47.48,47.48,843760.0,-0.032796903646364006,Oil,Yahoo Finance
2017-09-08,49.09,49.26,47.27,47.48,47.48,843760.0,0.0,Oil,Yahoo Finance
2017-09-09,49.09,49.26,47.27,47.48,47.48,843760.0,0.0,Oil,Yahoo Finance
2017-09-10,47.58,48.27,47.0,48.07,48.07,774468.0,0.012426284751474448,Oil,Yahoo Finance
2017-09-11,48.12,48.44,47.73,48.23,48.23,676040.0,0.003328479301019316,Oil,Yahoo Finance
2017-09-12,48.34,49.4,48.12,49.3,49.3,706925.0,0.022185361808003234,Oil,Yahoo Finance
2017-09-13,49.31,50.5,49.15,49.89,49.89,709035.0,0.011967545638945198,Oil,Yahoo Finance
2017-09-14,49.72,50.13,49.41,49.89,49.89,433597.0,0.0,Oil,Yahoo Finance
2017-09-15,49.72,50.13,49.41,49.89,49.89,433597.0,0.0,Oil,Yahoo Finance
2017-09-16,49.72,50.13,49.41,49.89,49.89,433597.0,0.0,Oil,Yahoo Finance
2017-09-17,49.85,50.33,49.19,49.91,49.91,189605.0,0.0004008819402685493,Oil,Yahoo Finance
2017-09-18,49.91,50.42,49.33,49.48,49.48,143379.0,-0.00861550791424559,Oil,Yahoo Finance
2017-09-19,49.84,50.65,49.75,50.41,50.41,754413.0,0.01879547291835082,Oil,Yahoo Finance
2017-09-20,50.72,50.81,50.07,50.55,50.55,580569.0,0.002777226740726002,Oil,Yahoo Finance
2017-09-21,50.73,50.78,50.29,50.66,50.66,473795.0,0.0021760633036598254,Oil,Yahoo Finance
2017-09-22,50.73,50.78,50.29,50.66,50.66,473795.0,0.0,Oil,Yahoo Finance
2017-09-23,50.73,50.78,50.29,50.66,50.66,473795.0,0.0,Oil,Yahoo Finance
2017-09-24,50.68,52.28,50.39,52.22,52.22,701244.0,0.030793525463876925,Oil,Yahoo Finance
2017-09-25,52.12,52.43,51.43,51.88,51.88,709515.0,-0.006510915358100222,Oil,Yahoo Finance
2017-09-26,52.09,52.34,51.63,52.14,52.14,637035.0,0.005011565150346842,Oil,Yahoo Finance
2017-09-27,52.05,52.86,51.22,51.56,51.56,801816.0,-0.011123897199846522,Oil,Yahoo Finance
2017-09-28,51.58,51.77,51.25,51.67,51.67,551982.0,0.0021334367726919545,Oil,Yahoo Finance
2017-09-29,51.58,51.77,51.25,51.67,51.67,551982.0,0.0,Oil,Yahoo Finance
2017-09-30,51.58,51.77,51.25,51.67,51.67,551982.0,0.0,Oil,Yahoo Finance
2017-10-01,51.64,51.71,50.07,50.58,50.58,600933.0,-0.02109541319914854,Oil,Yahoo Finance
2017-10-02,50.59,50.73,50.14,50.42,50.42,462735.0,-0.00316330565440881,Oil,Yahoo Finance
2017-10-03,50.16,50.67,49.76,49.98,49.98,598836.0,-0.008726695755652658,Oil,Yahoo Finance
2017-10-04,49.88,51.22,49.85,50.79,50.79,654385.0,0.016206482593037252,Oil,Yahoo Finance
2017-10-05,50.75,50.82,49.1,49.29,49.29,743114.0,-0.02953337271116363,Oil,Yahoo Finance
2017-10-06,50.75,50.82,49.1,49.29,49.29,743114.0,0.0,Oil,Yahoo Finance
2017-10-07,50.75,50.82,49.1,49.29,49.29,743114.0,0.0,Oil,Yahoo Finance
2017-10-08,49.25,49.79,49.13,49.58,49.58,505079.0,0.0058835463582875835,Oil,Yahoo Finance
2017-10-09,49.55,51.06,49.54,50.92,50.92,664839.0,0.027027027027027195,Oil,Yahoo Finance
2017-10-10,50.94,51.42,50.61,51.3,51.3,651948.0,0.00746268656716409,Oil,Yahoo Finance
2017-10-11,51.0,51.13,50.15,50.6,50.6,729273.0,-0.013645224171539905,Oil,Yahoo Finance
2017-10-12,50.73,51.72,50.7,51.45,51.45,667497.0,0.01679841897233203,Oil,Yahoo Finance
2017-10-13,50.73,51.72,50.7,51.45,51.45,667497.0,0.0,Oil,Yahoo Finance
2017-10-14,50.73,51.72,50.7,51.45,51.45,667497.0,0.0,Oil,Yahoo Finance
2017-10-15,51.43,52.37,51.35,51.87,51.87,520725.0,0.008163265306122325,Oil,Yahoo Finance
2017-10-16,51.93,52.25,51.21,51.88,51.88,471612.0,0.00019278966647395812,Oil,Yahoo Finance
2017-10-17,51.94,52.33,51.69,52.04,52.04,152620.0,0.0030840400925211675,Oil,Yahoo Finance
2017-10-18,52.05,52.17,51.07,51.29,51.29,127413.0,-0.014411990776325934,Oil,Yahoo Finance
2017-10-19,51.42,51.73,50.7,51.47,51.47,674142.0,0.0035094560343147396,Oil,Yahoo Finance
2017-10-20,51.42,51.73,50.7,51.47,51.47,674142.0,0.0,Oil,Yahoo Finance
2017-10-21,51.42,51.73,50.7,51.47,51.47,674142.0,0.0,Oil,Yahoo Finance
2017-10-22,52.07,52.3,51.68,51.9,51.9,583563.0,0.008354381192927862,Oil,Yahoo Finance
2017-10-23,51.89,52.62,51.55,52.47,52.47,709553.0,0.01098265895953765,Oil,Yahoo Finance
2017-10-24,52.56,52.57,51.89,52.18,52.18,681739.0,-0.00552696779111872,Oil,Yahoo Finance
2017-10-25,52.19,52.86,51.91,52.64,52.64,594647.0,0.008815638175546203,Oil,Yahoo Finance
2017-10-26,52.8,54.2,52.25,53.9,53.9,730915.0,0.02393617021276584,Oil,Yahoo Finance
2017-10-27,52.8,54.2,52.25,53.9,53.9,730915.0,0.0,Oil,Yahoo Finance
2017-10-28,52.8,54.2,52.25,53.9,53.9,730915.0,0.0,Oil,Yahoo Finance
2017-10-29,54.16,54.46,53.75,54.15,54.15,565043.0,0.004638218923933124,Oil,Yahoo Finance
