,Symbol,Date,Open,High,Low,Close,Adjusted Close,Volume
0,GCZ21.CMX,"Dec 31, 2020","1,913.90","1,920.20","1,907.50","1,911.20","1,911.20",817
1,GCZ21.CMX,"Dec 30, 2020","1,898.90","1,911.90","1,896.30","1,909.00","1,909.00",467
2,GCZ21.CMX,"Dec 29, 2020","1,898.10","1,905.00","1,892.00","1,898.20","1,898.20",403
3,GCZ21.CMX,"Dec 28, 2020","1,907.80","1,916.60","1,890.00","1,895.50","1,895.50",288
4,GCZ21.CMX,"Dec 24, 2020",-,-,-,-,-,-
5,GCZ21.CMX,"Dec 23, 2020","1,883.40","1,896.90","1,877.50","1,892.00","1,892.00",384
6,GCZ21.CMX,"Dec 22, 2020","1,901.50","1,901.50","1,878.30","1,884.50","1,884.50",330
7,GCZ21.CMX,"Dec 21, 2020","1,913.50","1,924.00","1,881.00","1,896.30","1,896.30",728
8,GCZ21.CMX,"Dec 18, 2020","1,903.50","1,907.10","1,895.00","1,902.00","1,902.00",549
9,GCZ21.CMX,"Dec 17, 2020","1,883.90","1,913.00","1,882.10","1,903.20","1,903.20",231
10,GCZ21.CMX,"Dec 16, 2020","1,871.40","1,882.30","1,868.70","1,871.70","1,871.70",341
11,GCZ21.CMX,"Dec 15, 2020","1,857.40","1,870.50","1,856.90","1,868.80","1,868.80",214
12,GCZ21.CMX,"Dec 14, 2020","1,857.70","1,857.70","1,838.60","1,845.80","1,845.80",370
13,GCZ21.CMX,"Dec 11, 2020","1,854.40","1,863.30","1,844.00","1,856.80","1,856.80",613
14,GCZ21.CMX,"Dec 10, 2020","1,854.30","1,864.30","1,846.10","1,850.60","1,850.60",249
15,GCZ21.CMX,"Dec 09, 2020","1,886.60","1,886.60","1,845.40","1,851.20","1,851.20",388
16,GCZ21.CMX,"Dec 08, 2020","1,881.00","1,890.20","1,877.70","1,887.70","1,887.70",703
17,GCZ21.CMX,"Dec 07, 2020","1,853.20","1,885.10","1,841.40","1,879.20","1,879.20",998
18,GCZ21.CMX,"Dec 04, 2020","1,853.80","1,862.80","1,846.70","1,853.50","1,853.50",440
19,GCZ21.CMX,"Dec 03, 2020","1,846.10","1,857.30","1,841.30","1,852.80","1,852.80",356
20,GCZ21.CMX,"Dec 02, 2020","1,829.60","1,846.30","1,825.40","1,842.40","1,842.40",615
21,GCZ21.CMX,"Dec 01, 2020","1,794.20","1,833.50","1,793.90","1,832.20","1,832.20",307
22,GCZ21.CMX,"Nov 30, 2020","1,804.30","1,805.10","1,783.20","1,794.70","1,794.70",338
23,GCZ21.CMX,"Nov 27, 2020",-,-,-,-,-,-
24,GCZ21.CMX,"Nov 25, 2020","1,828.40","1,835.40","1,823.80","1,825.00","1,825.00",808
25,GCZ21.CMX,"Nov 24, 2020","1,856.10","1,857.10","1,819.70","1,826.40","1,826.40",609
