,Symbol,Date,Open,High,Low,Close,Adjusted Close,Volume
0,^IXIC,"Dec 31, 2020","12,877.09","12,902.07","12,821.23","12,888.28","12,888.28","4,771,390,000"
1,^IXIC,"Dec 30, 2020","12,906.51","12,924.93","12,857.76","12,870.00","12,870.00","5,292,210,000"
2,^IXIC,"Dec 29, 2020","12,965.39","12,973.33","12,821.96","12,850.22","12,850.22","4,680,780,000"
3,^IXIC,"Dec 28, 2020","12,914.64","12,930.89","12,827.45","12,899.42","12,899.42","5,076,340,000"
4,^IXIC,"Dec 24, 2020","12,791.54","12,833.55","12,767.64","12,804.73","12,804.73","3,305,950,000"
5,^IXIC,"Dec 23, 2020","12,834.94","12,841.92","12,758.67","12,771.11","12,771.11","7,028,650,000"
6,^IXIC,"Dec 22, 2020","12,785.22","12,840.57","12,695.31","12,807.92","12,807.92","5,700,760,000"
7,^IXIC,"Dec 21, 2020","12,596.14","12,751.27","12,525.22","12,742.52","12,742.52","5,156,470,000"
8,^IXIC,"Dec 18, 2020","12,804.93","12,809.60","12,654.60","12,755.64","12,755.64","7,088,670,000"
9,^IXIC,"Dec 17, 2020","12,730.78","12,765.25","12,696.35","12,764.75","12,764.75","4,994,090,000"
10,^IXIC,"Dec 16, 2020","12,611.04","12,687.32","12,566.38","12,658.19","12,658.19","4,561,600,000"
11,^IXIC,"Dec 15, 2020","12,543.26","12,596.13","12,465.42","12,595.06","12,595.06","4,377,950,000"
12,^IXIC,"Dec 14, 2020","12,447.44","12,543.00","12,432.71","12,440.04","12,440.04","4,458,140,000"
13,^IXIC,"Dec 11, 2020","12,336.79","12,383.50","12,246.77","12,377.87","12,377.87","4,268,140,000"
14,^IXIC,"Dec 10, 2020","12,247.55","12,431.56","12,214.74","12,405.81","12,405.81","4,470,060,000"
15,^IXIC,"Dec 09, 2020","12,591.69","12,607.14","12,290.78","12,338.95","12,338.95","5,131,720,000"
16,^IXIC,"Dec 08, 2020","12,503.17","12,594.54","12,453.21","12,582.77","12,582.77","4,758,170,000"
17,^IXIC,"Dec 07, 2020","12,461.00","12,536.23","12,460.55","12,519.95","12,519.95","4,741,690,000"
18,^IXIC,"Dec 04, 2020","12,399.32","12,464.23","12,376.44","12,464.23","12,464.23","5,044,210,000"
19,^IXIC,"Dec 03, 2020","12,369.26","12,439.02","12,356.99","12,377.18","12,377.18","5,182,100,000"
20,^IXIC,"Dec 02, 2020","12,285.75","12,360.06","12,217.35","12,349.37","12,349.37","5,150,820,000"
21,^IXIC,"Dec 01, 2020","12,313.36","12,405.79","12,263.93","12,355.11","12,355.11","6,467,180,000"
22,^IXIC,"Nov 30, 2020","12,224.25","12,244.65","12,027.16","12,198.74","12,198.74","7,693,430,000"
23,^IXIC,"Nov 27, 2020","12,159.18","12,236.23","12,154.57","12,205.85","12,205.85","3,401,890,000"
24,^IXIC,"Nov 25, 2020","12,053.89","12,114.77","12,020.95","12,094.40","12,094.40","4,425,030,000"
25,^IXIC,"Nov 24, 2020","11,939.33","12,049.88","11,863.45","12,036.79","12,036.79","6,277,790,000"
26,^IXIC,"Nov 23, 2020","11,916.76","11,949.33","11,796.53","11,880.63","11,880.63","5,360,830,000"
27,^IXIC,"Nov 20, 2020","11,892.70","11,935.47","11,852.51","11,854.97","11,854.97","5,319,340,000"
28,^IXIC,"Nov 19, 2020","11,779.04","11,912.63","11,760.98","11,904.71","11,904.71","5,322,580,000"
29,^IXIC,"Nov 18, 2020","11,896.06","11,942.49","11,799.96","11,801.60","11,801.60","4,699,160,000"
30,^IXIC,"Nov 17, 2020","11,913.35","11,950.18","11,852.41","11,899.34","11,899.34","4,122,770,000"
31,^IXIC,"Nov 16, 2020","11,847.11","11,937.72","11,814.89","11,924.13","11,924.13","4,138,920,000"
32,^IXIC,"Nov 13, 2020","11,794.94","11,849.79","11,715.52","11,829.29","11,829.29","3,640,680,000"
33,^IXIC,"Nov 12, 2020","11,802.50","11,847.84","11,666.37","11,709.59","11,709.59","3,862,690,000"
34,^IXIC,"Nov 11, 2020","11,656.65","11,793.57","11,638.90","11,786.43","11,786.43","3,823,270,000"
35,^IXIC,"Nov 10, 2020","11,622.44","11,665.87","11,424.61","11,553.86","11,553.86","4,712,950,000"
36,^IXIC,"Nov 09, 2020","12,046.66","12,108.07","11,703.49","11,713.78","11,713.78","5,823,620,000"
37,^IXIC,"Nov 06, 2020","11,869.90","11,920.54","11,737.13","11,895.23","11,895.23","4,156,030,000"
38,^IXIC,"Nov 05, 2020","11,816.33","11,924.28","11,784.15","11,890.93","11,890.93","3,823,380,000"
39,^IXIC,"Nov 04, 2020","11,443.77","11,663.31","11,394.21","11,590.78","11,590.78","3,606,820,000"
40,^IXIC,"Nov 03, 2020","11,038.66","11,213.92","11,004.84","11,160.57","11,160.57","3,190,710,000"
41,^IXIC,"Nov 02, 2020","11,010.45","11,071.08","10,830.95","10,957.61","10,957.61","3,196,720,000"
42,^IXIC,"Oct 30, 2020","11,103.47","11,129.81","10,822.57","10,911.59","10,911.59","3,662,840,000"
43,^IXIC,"Oct 29, 2020","11,064.47","11,287.63","11,030.19","11,185.59","11,185.59","3,222,460,000"
44,^IXIC,"Oct 28, 2020","11,230.90","11,249.95","10,999.07","11,004.87","11,004.87","3,912,580,000"
45,^IXIC,"Oct 27, 2020","11,409.34","11,465.06","11,361.86","11,431.35","11,431.35","3,079,530,000"
46,^IXIC,"Oct 26, 2020","11,440.64","11,545.63","11,221.06","11,358.94","11,358.94","3,186,950,000"
47,^IXIC,"Oct 23, 2020","11,536.01","11,548.85","11,434.86","11,548.28","11,548.28","3,134,240,000"
