Date,count
1/0/2021,55480
2/0/2021,145059
3/0/2021,141596
4/0/2021,82412
5/0/2021,68133
6/0/2021,86631
7/0/2021,125036
8/0/2021,113560
9/0/2021,84725
10/0/2021,74964
11/0/2021,109316
12/0/2021,83880
13/0/2021,91811
14/0/2021,106170
15/0/2021,70388
16/0/2021,62189
17/0/2021,59161
18/0/2021,69189
19/0/2021,70173
20/0/2021,61204
21/0/2021,79347
22/0/2021,79570
23/0/2021,52802
24/0/2021,50983
25/0/2021,63766
26/0/2021,55828
27/0/2021,60652
28/0/2021,84933
29/0/2021,200783
30/0/2021,93578
31/0/2021,68163
1/1/2021,91439
2/1/2021,80624
3/1/2021,87809
4/1/2021,76348
5/1/2021,97415
6/1/2021,107331
7/1/2021,77886
8/1/2021,212923
9/1/2021,159207
10/1/2021,124292
11/1/2021,115390
12/1/2021,122503
13/1/2021,93740
14/1/2021,99797
15/1/2021,101777
16/1/2021,147792
17/1/2021,147890
18/1/2021,116096
19/1/2021,150898
20/1/2021,118093
21/1/2021,111638
22/1/2021,110348
23/1/2021,131691
24/1/2021,103733
25/1/2021,82520
26/1/2021,81742
27/1/2021,66315
28/1/2021,73439
1/2/2021,89756
2/2/2021,103342
3/2/2021,94227
4/2/2021,81460
5/2/2021,70950
6/2/2021,40281
7/2/2021,68935
8/2/2021,81828
9/2/2021,85849
10/2/2021,81908
11/2/2021,95858
12/2/2021,104787
13/2/2021,154790
14/2/2021,102059
15/2/2021,116563
16/2/2021,99951
17/2/2021,106258
18/2/2021,106755
19/2/2021,106380
20/2/2021,92396
21/2/2021,80437
22/2/2021,103950
23/2/2021,94277
24/2/2021,130216
25/2/2021,137938
26/2/2021,137602
27/2/2021,106231
28/2/2021,86361
29/2/2021,104638
30/2/2021,111290
31/2/2021,108145
1/3/2021,69301
2/3/2021,30540
3/3/2021,75450
4/3/2021,87528
5/3/2021,44761
6/3/2021,32289
7/3/2021,86985
8/3/2021,104094
9/3/2021,102638
10/3/2021,110849
11/3/2021,94714
12/3/2021,132176
13/3/2021,171108
14/3/2021,161204
15/3/2021,110223
16/3/2021,113640
17/3/2021,100583
18/3/2021,178464
19/3/2021,122950
20/3/2021,112302
21/3/2021,96848
22/3/2021,108961
23/3/2021,132963
24/3/2021,86049
25/3/2021,81258
26/3/2021,110552
27/3/2021,102971
28/3/2021,97333
29/3/2021,96503
30/3/2021,92350
1/4/2021,99595
2/4/2021,78756
3/4/2021,89710
4/4/2021,87287
5/4/2021,93866
6/4/2021,84935
7/4/2021,103515
8/4/2021,82542
9/4/2021,62002
10/4/2021,74446
11/4/2021,72974
12/4/2021,104572
13/4/2021,249599
14/4/2021,120644
